Name,Online_Name,Description,Short_Code,Short_Code_2,Sap_Code,HSN_Code,Parent_Category,Category,Category_online_display,Price,Attributes,Active_in_All_Areas,Goods_Services,Rank,Packing_Charges,Allow_Decimal_Qty,Addon_Group_Name,Addon_Group_Selection,Addon_Group_Min,Addon_Group_Max,Variation_group_name,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges
"Chimichurri Mushroom Puff","Chimichurri Mushroom Puff",,3,,,,,Savoury,Savoury,50,veg,No,services,1,5,Yes,,,,
"Korean Bun","Korean Bun",,4,,,,,Savoury,Savoury,120,veg,No,services,1,5,Yes,,,,
"Aloo Bun","Aloo Bun",,5,,,,,Savoury,Savoury,40,veg,No,services,1,5,Yes,,,,
"Flat Bread With Veg Cheesy Creole","Flat Bread With Veg Cheesy Creole",,6,,,,,Savoury,Savoury,70,veg,No,services,1,5,Yes,,,,
"Paneer & Sweet Corn Calzone","Paneer & Sweet Corn Calzone",,7,,,,,Savoury,Savoury,70,veg,No,services,1,5,Yes,,,,
"Paneer Roll","Paneer Roll","Delight in a savory delight, featuring creamy filling wrapped in a soft, warm embrace, perfect for any occasion.",8,,,,,Savoury,Savoury,70,veg,No,services,1,5,Yes,,,,
"Hot Chocolate (classic)","Hot Chocolate (classic)",,101,,,,,Beverages,,100,veg,No,services,1,0,Yes,,,,
"Hot Chocolate (hazelnut)","Hot Chocolate (hazelnut)",,102,,,,,Beverages,,125,veg,No,services,1,0,Yes,,,,
"Water Bottle (500ml)","Water Bottle (500ml)",,103,,,,,Beverages,,10,veg,No,services,1,0,Yes,,,,
"Mix Fruit Candy Can (230G)","Mix Fruit Candy Can (230G)",,104,,,,,FG,"Sugar candies",140,veg,No,services,1,0,Yes,,,,
"Fruit Jelly Can (200 Gm)","Fruit Jelly Can (200 Gm)",,105,,,,,FG,"Sugar candies",140,veg,No,services,1,0,Yes,,,,
"Jelly Belly Can (215G)","Jelly Belly Can (215G)",,106,,,,,FG,"Sugar candies",140,veg,No,services,1,0,Yes,,,,
"Litchi Balls Can (240G)","Litchi Balls Can (240G)",,107,,,,,FG,"Sugar candies",140,veg,No,services,1,0,Yes,,,,
"Mango Slice Can (170G)","Mango Slice Can (170G)",,108,,,,,FG,"Sugar candies",150,veg,No,services,1,0,Yes,,,,
"Madrasi Saunf Can (200 Gm)","Madrasi Saunf Can (200 Gm)",,109,,,,,FG,"Sugar candies",140,veg,No,services,1,0,Yes,,,,
"South Mix Saunf Can (200 Gm)","South Mix Saunf Can (200 Gm)",,110,,,,,FG,"Sugar candies",140,veg,No,services,1,0,Yes,,,,
"Chatpat Goli Can (240G)","Chatpat Goli Can (240G)",,111,,,,,FG,"Sugar candies",140,veg,No,services,1,0,Yes,,,,
"3 In 1 Saunf (95G)","3 In 1 Saunf (95G)",,112,,,,,FG,"Sugar candies",140,veg,No,services,1,0,Yes,,,,
"Orange Jelly Can (200 Gm)","Orange Jelly Can (200 Gm)",,113,,,,,FG,"Sugar candies",140,veg,No,services,1,0,Yes,,,,
"Mix Jelly Can (200 Gm)","Mix Jelly Can (200 Gm)",,114,,,,,FG,"Sugar candies",148,veg,No,services,1,0,Yes,,,,
"Bubblegum Candy Can (220G)","Bubblegum Candy Can (220G)",,115,,,,,FG,"Sugar candies",140,veg,No,services,1,0,Yes,,,,
"Love Treat (95G)","Love Treat (95G)",,116,,,,,FG,"Sugar candies",100,veg,No,services,1,0,Yes,,,,
"Mix Twist (215G)","Mix Twist (215G)",,117,,,,,FG,"Sugar candies",170,veg,No,services,1,0,Yes,,,,
"Fluffy Marsh Mallow (70G)","Fluffy Marsh Mallow (70G)",,118,,,,,FG,"Sugar candies",140,veg,No,services,1,0,Yes,,,,
"Chatpata Amla Can (200 Gm)","Chatpata Amla Can (200 Gm)",,119,,,,,FG,"Sugar candies",140,veg,No,services,1,0,Yes,,,,
"Coconut Rose Peda Can (200 Gm)","Coconut Rose Peda Can (200 Gm)",,120,,,,,FG,"Sugar candies",150,veg,No,services,1,0,Yes,,,,
"Jelly Jelly Can (230G)","Jelly Jelly Can (230G)",,121,,,,,FG,"Sugar candies",160,veg,No,services,1,0,Yes,,,,
"Mango Bite Can (160G)","Mango Bite Can (160G)",,122,,,,,FG,"Sugar candies",160,veg,No,services,1,0,Yes,,,,
"Imli Bite Can (160G)","Imli Bite Can (160G)",,123,,,,,FG,"Sugar candies",160,veg,No,services,1,0,Yes,,,,
"Garlic Chilli (200 Gm)ms","Garlic Chilli (200 Gm)ms",,129,,,,,FG,"Sugar candies",99,veg,No,services,1,0,Yes,,,,
"Baby Salt (200 Gm)Ms","Baby Salt (200 Gm)Ms",,130,,,,,FG,"Sugar candies",120,veg,No,services,1,0,Yes,,,,
"Thenkulal Salt (200 Gm)Ms","Thenkulal Salt (200 Gm)Ms",,131,,,,,FG,"Sugar candies",120,veg,No,services,1,0,Yes,,,,
"Spiral Chilli (200 Gm)Ms","Spiral Chilli (200 Gm)Ms",,132,,,,,FG,"Sugar candies",120,veg,No,services,1,0,Yes,,,,
"Tomato Chilli (200 Gm)Ms","Tomato Chilli (200 Gm)Ms",,133,,,,,FG,"Sugar candies",120,veg,No,services,1,0,Yes,,,,
"Thenkulal Chilli (200 Gm)Ms","Thenkulal Chilli (200 Gm)Ms",,134,,,,,FG,"Sugar candies",120,veg,No,services,1,0,Yes,,,,
"Mullu Muruku Chilli (200 Gm)Ms","Mullu Muruku Chilli (200 Gm)Ms",,135,,,,,FG,"Sugar candies",120,veg,No,services,1,0,Yes,,,,
"Baby Muruku Chilli (200 Gm)Ms","Baby Muruku Chilli (200 Gm)Ms",,136,,,,,FG,"Sugar candies",120,veg,No,services,1,0,Yes,,,,
"Garlic Mixture (100Gms)","Garlic Mixture (100Gms)",,137,,,,,FG,"Sugar candies",120,veg,No,services,1,0,Yes,,,,
"Ribbon Pakoda (150Gms)","Ribbon Pakoda (150Gms)",,138,,,,,FG,"Sugar candies",120,veg,No,services,1,0,Yes,,,,
"Oats & Raisins Coookies (180 Gms)","Oats & Raisins Coookies (180 Gms)",,146,,,,,FG,"Sugar candies",110,veg,No,services,1,0,Yes,,,,
"Red Velvet Cookies (120 Gms)","Red Velvet Cookies (120 Gms)",,151,,,,,Cookies,,110,veg,No,services,1,0,Yes,,,,
"Soanpapdi Cookies (150gms)","Soanpapdi Cookies (150gms)",,157,,,,,Cookies,,110,veg,No,services,1,0,Yes,,,,
"Mixture (150Gms)","Mixture (150Gms)",,159,,,,,FG,"Sugar candies",80,veg,No,services,1,0,Yes,,,,
"Masala Peanuts (170Gms)","Masala Peanuts (170Gms)",,160,,,,,FG,"Sugar candies",100,veg,No,services,1,0,Yes,,,,
"Congress Peanuts ( 170Gms)","Congress Peanuts ( 170Gms)",,161,,,,,FG,"Sugar candies",100,veg,No,services,1,0,Yes,,,,
"Kodubele (200 Gm)Ms","Kodubele (200 Gm)Ms",,162,,,,,FG,"Sugar candies",120,veg,No,services,1,0,Yes,,,,
"Masala Chakli (200 Gm)Ms","Masala Chakli (200 Gm)Ms",,163,,,,,FG,"Sugar candies",140,veg,No,services,1,0,Yes,,,,
"Nippat (200 Gm)Ms","Nippat (200 Gm)Ms",,164,,,,,FG,"Sugar candies",150,veg,No,services,1,0,Yes,,,,
"Bannana Chips (200 Gm)Ms","Bannana Chips (200 Gm)Ms",,165,,,,,FG,"Sugar candies",160,veg,No,services,1,0,Yes,,,,
"Sabudana Vada (200 Gm)Ms","Sabudana Vada (200 Gm)Ms",,166,,,,,FG,"Sugar candies",150,veg,No,services,1,0,Yes,,,,
"Belgian Chocolate Gelato","Belgian Chocolate Gelato",,167,,,,,Gelato,Gelato,99,veg,No,services,1,0,Yes,,,,
"Alphanso Mango Gelato","Alphanso Mango Gelato",,168,,,,,Gelato,Gelato,99,veg,No,services,1,0,Yes,,,,
"Pista Gelato","Pista Gelato",,169,,,,,Gelato,Gelato,99,veg,No,services,1,0,Yes,,,,
"Biscoff Gelato","Biscoff Gelato",,170,,,,,Gelato,Gelato,99,veg,No,services,1,0,Yes,,,,
"Musk Melon Gelato","Musk Melon Gelato",,171,,,,,Gelato,Gelato,99,veg,No,services,1,0,Yes,,,,
"Vanilla Gelato","Vanilla Gelato",,172,,,,,Gelato,Gelato,99,veg,No,services,1,0,Yes,,,,
"Fruit Flavour Gelato","Fruit Flavour Gelato",,173,,,,,Gelato,Gelato,99,veg,No,services,1,0,Yes,,,,
"Farmhouse Pizza","8"" Farmhouse Pizza","A Hearty Mix Of Broccoli, Grilled Zucchini, Baby Corn, Bell Peppers, And Olives, Finished With Mozzarella Cheese",174,,,,,"8 Pizza","8 Pizza",245,veg,No,services,1,15,Yes,"Add On",S,0,1
"Peri Peri Pizza","8"" Peri Peri Pizza","Spicy Peri Peri Paneer With Paprika And Bell Peppers, Finished With Mozzarella Cheese.",11,,,,,"8 Pizza","8 Pizza",275,veg,No,services,1,15,Yes,"Add On",S,0,1
"Double Cheese Margarita","8"" Double Cheese Margarita","Rich Marinara Sauce Finished With A Layer Of Mozzarella Cheese",176,,,,,"8 Pizza","8 Pizza",225,veg,No,services,1,15,Yes,"Add On",S,0,1
